DATE,POWER_DEMAND,Predicted_POWER_DEMAND
2014-01-14,3787.0,4032.9302
2014-01-15,3709.0,3744.9263
2014-01-16,3815.0,3797.882
2014-01-17,3805.0,3825.8042
2014-01-18,3902.0,3891.3188
2014-01-19,3569.0,3576.005
2014-01-20,3726.0,3738.7266
2014-01-21,3797.0,3761.339
2014-01-22,3666.0,3681.366
2014-01-23,3826.0,3793.4653
2014-01-24,3720.0,3816.35
2014-01-25,3871.0,3858.463
2014-01-26,3714.0,3706.0076
2014-01-27,3266.0,3346.266
2014-01-28,3580.0,3585.1172
2014-01-29,3569.0,3552.5432
2014-01-30,3510.0,3499.457
2014-01-31,3502.0,3552.7192
2014-02-13,3461.0,3491.5647
2014-02-14,3460.0,3478.794
2014-02-15,3546.0,3514.4058
2014-02-16,3621.0,3602.549
2014-02-17,3560.0,3426.564
2014-02-18,3616.0,3550.858
2014-02-19,3522.0,3444.7598
2014-02-20,3561.0,3489.9888
2014-02-21,3455.0,3408.4905
2014-02-22,3562.0,3496.2395
2014-02-23,3351.0,3224.305
2014-02-24,3370.0,3335.33
2014-02-25,3462.0,3388.3943
2014-02-26,3237.0,3247.256
2014-02-27,3279.0,3259.4727
2014-02-28,3362.0,3336.7761
2014-03-13,3175.0,3161.101
2014-03-14,3158.0,3213.4578
2014-03-15,3297.0,3265.7917
2014-03-16,2992.0,3009.2354
2014-03-17,2850.0,2842.9512
2014-03-18,2265.0,2527.898
2014-03-19,2724.0,2838.0652
2014-03-20,3000.0,3064.5225
2014-03-21,2995.0,3128.4888
2014-03-22,3097.0,3167.9841
2014-03-23,3031.0,3031.0425
2014-03-24,2778.0,2779.0635
2014-03-25,3077.0,3078.6199
2014-03-26,3068.0,3082.3843
2014-03-27,3138.0,3101.4998
2014-03-28,3086.0,3126.8235
2014-03-29,3165.0,3129.2932
2014-03-30,3078.0,2891.4119
2014-03-31,2825.0,2807.2664
2014-04-13,3363.0,3532.629
2014-04-14,3065.0,3096.7341
2014-04-15,3369.0,3336.4216
2014-04-16,3608.0,3542.549
2014-04-17,3532.0,3449.3274
2014-04-18,3504.0,3367.112
2014-04-19,3299.0,3304.2593
2014-04-20,3245.0,3248.7249
2014-04-21,3149.0,3151.978
2014-04-22,3484.0,3523.528
2014-04-23,3535.0,3600.6
2014-04-24,3545.0,3631.9524
2014-04-25,3723.0,3731.5593
2014-04-26,3851.0,3911.9246
2014-04-27,3727.0,3700.7168
2014-04-28,3602.0,3623.867
2014-04-29,4037.0,4011.8499
2014-04-30,4115.0,4383.7886
2014-05-13,3969.0,3620.6511
2014-05-14,3804.0,3742.604
2014-05-15,3592.0,4276.451
2014-05-16,3858.0,3946.2385
2014-05-17,4115.0,4064.2017
2014-05-18,4008.0,4130.227
2014-05-19,4061.0,4011.0986
2014-05-20,4239.0,4214.511
2014-05-21,4364.0,4375.7817
2014-05-22,4478.0,4470.1113
2014-05-23,4663.0,4674.257
2014-05-24,4810.0,4392.2314
2014-05-25,4433.0,4225.3496
2014-05-26,4011.0,4120.0444
2014-05-27,4389.0,4393.8447
2014-05-28,4597.0,4649.444
2014-05-29,4836.0,4897.4507
2014-05-30,4936.0,5065.8735
2014-05-31,5321.0,5257.4062
2014-06-13,5203.0,5399.6406
2014-06-14,4745.0,5050.1953
2014-06-15,4344.0,4429.736
2014-06-16,4479.0,4592.602
2014-06-17,5163.0,5183.603
2014-06-18,5390.0,5338.692
2014-06-19,5448.0,5389.7256
2014-06-20,5434.0,5219.2915
2014-06-21,5490.0,5417.539
2014-06-22,5146.0,5126.346
2014-06-23,5029.0,5045.166
2014-06-24,5125.0,5112.949
2014-06-25,5194.0,4827.6743
2014-06-26,5003.0,5029.1245
2014-06-27,5212.0,5138.6235
2014-06-28,5298.0,5273.4473
2014-06-29,5133.0,5125.45
2014-06-30,4951.0,4948.372
2014-07-13,5521.0,5539.377
2014-07-14,5318.0,5290.124
2014-07-15,5655.0,5586.151
2014-07-16,5852.0,5728.5767
2014-07-17,5610.0,5599.031
2014-07-18,5411.0,5336.098
2014-07-19,4571.0,4628.754
2014-07-20,4643.0,4977.353
2014-07-21,4818.0,4843.1978
2014-07-22,5308.0,5307.513
2014-07-23,5216.0,5240.456
2014-07-24,4988.0,4993.416
2014-07-25,4896.0,4840.65
2014-07-26,4841.0,4929.407
2014-07-27,5032.0,5001.67
2014-07-28,4951.0,4906.8774
2014-07-29,4880.0,4880.087
2014-07-30,4501.0,4612.605
2014-07-31,4941.0,4940.178
2014-08-13,5171.0,5029.7275
2014-08-14,5221.0,5183.9395
2014-08-16,4442.0,4808.4575
2014-08-17,4621.0,4577.1543
2014-08-19,4903.0,4994.5273
2014-08-20,5128.0,5093.02
2014-08-21,5245.0,4985.2803
2014-08-22,5150.0,5133.057
